indeks_katalogowy,nazwa,zdjecie,rozmiar,material,vat,cena_FV_brutto,cena_detal,stan_magazynowy,producent,opis_tekstowy,jednostka_wymiaru,szerokosc,wysokosc,ostatnia_aktualizacja
6380/2W,6380/2W OBRAZEK ŚW. RODZINA 8x14 CM,https://wikomistral.ddns.net/Obrazki/6380.2W_6380W.jpg,8x14 cm,Mirosilver,23,92.31,221.54,41,Beltrami s.r.l.,,cm,"8,000","14,000",2025-11-01 02:42:15
6380/2WM,6380/2WM OBRAZEK ŚW. RODZINA 8x14 CM,https://wikomistral.ddns.net/Obrazki/6380.2WM_6380 WM.jpg,8x14 cm,Mirosilver,23,92.31,221.54,29,Beltrami s.r.l.,,cm,"8,000","14,000",2025-11-01 02:42:15
6380/2X,6380/2X OBRAZEK ŚW. RODZINA 9x18 CM,https://wikomistral.ddns.net/Obrazki/6380.2X_6380.jpg,9x18 cm,Mirosilver,23,142.56,313.63,381,Beltrami s.r.l.,,cm,"9,000","18,000",2025-11-01 02:42:15
6380/2XFB,6380/2XFB OBRAZEK ŚW. RODZINA 16x25 CM,https://wikomistral.ddns.net/Obrazki/6380.2XFB_6380FB.jpg,16x25 cm,Mirosilver,23,165.93,331.86,114,Beltrami s.r.l.,,cm,"16,000","25,000",2025-11-01 02:42:15
6380/2XTP,6380/2XTP OBRAZEK ŚW. RODZINA 13x22 CM,https://wikomistral.ddns.net/Obrazki/6380.2XTP_6380TP.jpg,13x22 cm,Mirosilver,23,158.92,317.84,47,Beltrami s.r.l.,,cm,"13,000","22,000",2025-11-01 02:42:15
6380/2XW,6380/2XW OBRAZEK ŚW. RODZINA 11x20 CM,https://wikomistral.ddns.net/Obrazki/6380.2XW_6380W.jpg,11x20 cm,Mirosilver,23,155.41,310.82,23,Beltrami s.r.l.,,cm,"11,000","20,000",2025-11-01 02:42:15
6380/2XWM,6380/2XWM OBRAZEK ŚW. RODZINA 11x20 CM,https://wikomistral.ddns.net/Obrazki/6380.2XWM_6380 WM.jpg,11x20 cm,Mirosilver,23,155.41,310.82,43,Beltrami s.r.l.,,cm,"11,000","20,000",2025-11-01 02:42:15
6380/3,6380/3 OBRAZEK ŚW. RODZINA 12x24 CM,https://wikomistral.ddns.net/Obrazki/6380.3_6380.jpg,12x24 cm,Mirosilver,23,220.85,441.70,89,Beltrami s.r.l.,,cm,"12,000","24,000",2025-11-01 02:42:15
6380/3FB,6380/3FB OBRAZEK ŚW. RODZINA 21x33 CM,https://wikomistral.ddns.net/Obrazki/6380.3FB_6380FB.jpg,21x33 cm,Mirosilver,23,261.74,471.13,50,Beltrami s.r.l.,,cm,"21,000","33,000",2025-11-01 02:42:15
6380/3TP,6380/3TP OBRAZEK ŚW. RODZINA 16x28 CM,https://wikomistral.ddns.net/Obrazki/6380.3TP_6380TP.jpg,16x28 cm,Mirosilver,23,246.55,493.10,22,Beltrami s.r.l.,,cm,"16,000","28,000",2025-11-01 02:42:15
